POHEADER_PO_ID,PRODUCT,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB,HT-2001,,USD,1070.98,899.98,171,2,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB,HT-1007,,USD,593.81,499,94.81,1,EA,2020-09-22
02BD2137-0890-1EEA-A6C2-BB55C1C107FB,HT-2026,,USD,35.69,29.99,5.7,1,EA,2020-03-24
02BD2137-0890-1EEA-A6C2-BB55C1C107FB,HT-1002,,USD,3736.6,3140,596.6,2,EA,2020-07-21
02BD2137-0890-1EEA-A6C2-BB55C1C127FB,HT-1103,,EUR,274.89,231,43.89,3,EA,2020-01-06
02BD2137-0890-1EEA-A6C2-BB55C1C127FB,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-01-24
02BD2137-0890-1EEA-A6C2-BB55C1C147FB,HT-1600,,ARS,2142,1800,342,3,EA,2020-05-19
02BD2137-0890-1EEA-A6C2-BB55C1C147FB,HT-1022,,ARS,243.95,205,38.95,1,EA,2020-10-07
02BD2137-0890-1EEA-A6C2-BB55C1C167FB,HT-1091,,EUR,61.88,52,9.88,2,EA,2020-07-17
02BD2137-0890-1EEA-A6C2-BB55C1C167FB,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-10-31
02BD2137-0890-1EEA-A6C2-BB55C1C187FB,HT-1100,,USD,213.96,179.8,34.16,2,EA,2020-12-02
02BD2137-0890-1EEA-A6C2-BB55C1C187FB,HT-2026,,USD,35.69,29.99,5.7,1,EA,2020-09-28
02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-09-16
02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB,HT-1601,,MXN,3213,2700,513,3,EA,2020-08-23
02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2020-04-30
02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB,HT-1104,,JPY,196.35,165,31.35,3,EA,2020-10-15
02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB,HT-1103,,EUR,274.89,231,43.89,3,EA,2020-02-26
02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-07-31
02BD2137-0890-1EEA-A6C2-BB55C1C207FB,HT-1061,,EUR,8.33,7,1.33,1,EA,2020-05-02
02BD2137-0890-1EEA-A6C2-BB55C1C207FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-01-09
02BD2137-0890-1EEA-A6C2-BB55C1C227FB,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-09-10
02BD2137-0890-1EEA-A6C2-BB55C1C227FB,HT-1502,,EUR,29750,25000,4750,1,EA,2014-12-23
02BD2137-0890-1EEA-A6C2-BB55C1C247FB,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-10-19
02BD2137-0890-1EEA-A6C2-BB55C1C247FB,HT-1210,,EUR,2854.81,2399,455.81,1,EA,2020-06-24
02BD2137-0890-1EEA-A6C2-BB55C1C267FB,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-02-02
02BD2137-0890-1EEA-A6C2-BB55C1C267FB,HT-1501,,JPY,53550,45000,8550,3,EA,2020-07-14
02BD2137-0890-1EEA-A6C2-BB55C1C287FB,HT-1501,,JPY,35700,30000,5700,2,EA,2020-01-19
02BD2137-0890-1EEA-A6C2-BB55C1C287FB,HT-1056,,JPY,141.61,119,22.61,1,EA,2020-10-06
02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB,HT-1051,,USD,117.81,99,18.81,1,EA,2020-05-18
02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB,HT-1138,,USD,2882.18,2422,460.18,2,EA,2020-01-01
02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB,HT-1500,,EUR,17850,15000,2850,3,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB,HT-1055,,EUR,117.81,99,18.81,1,EA,2020-02-28
02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB,HT-1042,,EUR,830.62,698,132.62,2,EA,2020-05-04
02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB,HT-1120,,EUR,928.2,780,148.2,3,EA,2020-11-09
02BD2137-0890-1EEA-A6C2-BB55C1C307FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-12-27
02BD2137-0890-1EEA-A6C2-BB55C1C307FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-10-24
02BD2137-0890-1EEA-A6C2-BB55C1C327FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-03-02
02BD2137-0890-1EEA-A6C2-BB55C1C327FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-10-25
02BD2137-0890-1EEA-A6C2-BB55C1C347FB,HT-1502,,EUR,59500,50000,9500,2,EA,2020-05-31
02BD2137-0890-1EEA-A6C2-BB55C1C347FB,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-10-23
02BD2137-0890-1EEA-A6C2-BB55C1C367FB,HT-1042,,EUR,415.31,349,66.31,1,EA,2020-07-24
02BD2137-0890-1EEA-A6C2-BB55C1C367FB,HT-1120,,EUR,928.2,780,148.2,3,EA,2020-02-25
02BD2137-0890-1EEA-A6C2-BB55C1C387FB,HT-1052,,EUR,404.6,340,64.6,2,EA,2020-05-31
02BD2137-0890-1EEA-A6C2-BB55C1C387FB,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2020-07-17
02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB,HT-1501,,JPY,17850,15000,2850,1,EA,2020-06-28
02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-08-11
02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB,HT-1056,,JPY,141.61,119,22.61,1,EA,2020-07-08
02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB,HT-1501,,JPY,35700,30000,5700,2,EA,2020-11-07
02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB,HT-1051,,USD,353.43,297,56.43,3,EA,2020-03-11
02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB,HT-1138,,USD,2882.18,2422,460.18,2,EA,2020-04-07
02BD2137-0890-1EEA-A6C2-BB55C1C407FB,HT-1120,,EUR,618.8,520,98.8,2,EA,2020-02-16
02BD2137-0890-1EEA-A6C2-BB55C1C407FB,HT-1042,,EUR,415.31,349,66.31,1,EA,2020-05-01
02BD2137-0890-1EEA-A6C2-BB55C1C427FB,HT-1052,,EUR,202.3,170,32.3,1,EA,2020-05-02
02BD2137-0890-1EEA-A6C2-BB55C1C427FB,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2020-04-30
02BD2137-0890-1EEA-A6C2-BB55C1C447FB,HT-1060,,EUR,32.13,27,5.13,3,EA,2020-12-31
02BD2137-0890-1EEA-A6C2-BB55C1C447FB,HT-1502,,EUR,89250,75000,14250,3,EA,2020-10-27
02BD2137-0890-1EEA-A6C2-BB55C1C467FB,HT-1061,,EUR,24.99,21,3.99,3,EA,2020-02-10
02BD2137-0890-1EEA-A6C2-BB55C1C467FB,HT-6130,,EUR,1736.21,1459,277.21,1,EA,2020-05-30
02BD2137-0890-1EEA-A6C2-BB55C1C487FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-08-26
02BD2137-0890-1EEA-A6C2-BB55C1C487FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-05-01
02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB,HT-1502,,EUR,59500,50000,9500,2,EA,2020-08-12
02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB,HT-1060,,EUR,10.71,9,1.71,1,EA,2020-03-24
02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-03-08
02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB,HT-1501,,JPY,53550,45000,8550,3,EA,2020-10-09
02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB,HT-1051,,USD,353.43,297,56.43,3,EA,2020-10-06
02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB,HT-1138,,USD,4323.27,3633,690.27,3,EA,2020-03-14
02BD2137-0890-1EEA-A6C2-BB55C1C507FB,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-12-31
02BD2137-0890-1EEA-A6C2-BB55C1C507FB,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2020-06-24
02BD2137-0890-1EEA-A6C2-BB55C1C527FB,HT-1500,,EUR,5950,5000,950,1,EA,2014-12-14
02BD2137-0890-1EEA-A6C2-BB55C1C527FB,HT-1055,,EUR,235.62,198,37.62,2,EA,2020-12-30
02BD2137-0890-1EEA-A6C2-BB55C1C547FB,HT-1500,,EUR,11900,10000,1900,2,EA,2020-02-17
02BD2137-0890-1EEA-A6C2-BB55C1C547FB,HT-1055,,EUR,117.81,99,18.81,1,EA,2020-11-15
02BD2137-0890-1EEA-A6C2-BB55C1C567FB,HT-1500,,EUR,17850,15000,2850,3,EA,2020-10-31
02BD2137-0890-1EEA-A6C2-BB55C1C567FB,HT-1055,,EUR,117.81,99,18.81,1,EA,2020-01-23
02BD2137-0890-1EEA-A6C2-BB55C1C587FB,HT-1138,,USD,4323.27,3633,690.27,3,EA,2020-02-24
02BD2137-0890-1EEA-A6C2-BB55C1C587FB,HT-1051,,USD,353.43,297,56.43,3,EA,2020-11-05
02BD2137-0890-1EEA-A6C2-BB55C1C5A7FB,HT-1042,,EUR,830.62,698,132.62,2,EA,2020-09-16
02BD2137-0890-1EEA-A6C2-BB55C1C5A7FB,HT-1120,,EUR,309.4,260,49.4,1,EA,2020-07-30
02BD2137-0890-1EEA-A6C2-BB55C1C5C7FB,HT-1501,,JPY,17850,15000,2850,1,EA,2020-05-20
02BD2137-0890-1EEA-A6C2-BB55C1C5C7FB,HT-1056,,JPY,283.22,238,45.22,2,EA,2020-10-25
02BD2137-0890-1EEA-A6C2-BB55C1C5E7FB,HT-1042,,EUR,1245.93,1047,198.93,3,EA,2020-10-27
02BD2137-0890-1EEA-A6C2-BB55C1C5E7FB,HT-1120,,EUR,309.4,260,49.4,1,EA,2020-07-16
02BD2137-0890-1EEA-A6C2-BB55C1C607FB,HT-1501,,JPY,35700,30000,5700,2,EA,2020-05-17
02BD2137-0890-1EEA-A6C2-BB55C1C607FB,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-02-10
02BD2137-0890-1EEA-A6C2-BB55C1C627FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-11-27
02BD2137-0890-1EEA-A6C2-BB55C1C627FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-10-23
02BD2137-0890-1EEA-A6C2-BB55C1C647FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-07-30
02BD2137-0890-1EEA-A6C2-BB55C1C647FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-04-12
02BD2137-0890-1EEA-A6C2-BB55C1C667FB,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-01-24
02BD2137-0890-1EEA-A6C2-BB55C1C667FB,HT-1502,,EUR,59500,50000,9500,2,EA,2020-06-27
02BD2137-0890-1EEA-A6C2-BB55C1C687FB,HT-1500,,EUR,5950,5000,950,1,EA,2020-03-25
02BD2137-0890-1EEA-A6C2-BB55C1C687FB,HT-1055,,EUR,353.43,297,56.43,3,EA,2020-04-14
02BD2137-0890-1EEA-A6C2-BB55C1C6A7FB,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2020-06-15
02BD2137-0890-1EEA-A6C2-BB55C1C6A7FB,HT-1052,,EUR,404.6,340,64.6,2,EA,2020-04-25
02BD2137-0890-1EEA-A6C2-BB55C1C6C7FB,HT-1056,,JPY,141.61,119,22.61,1,EA,2020-11-08
02BD2137-0890-1EEA-A6C2-BB55C1C6C7FB,HT-1501,,JPY,53550,45000,8550,3,EA,2020-05-13
02BD2137-0890-1EEA-A6C2-BB55C1C6E7FB,HT-1501,,JPY,17850,15000,2850,1,EA,2020-09-14
02BD2137-0890-1EEA-A6C2-BB55C1C6E7FB,HT-1056,,JPY,283.22,238,45.22,2,EA,2020-06-21
02BD2137-0890-1EEA-A6C2-BB55C1C707FB,HT-1138,,USD,4323.27,3633,690.27,3,EA,2020-10-10
02BD2137-0890-1EEA-A6C2-BB55C1C707FB,HT-1051,,USD,235.62,198,37.62,2,EA,2020-11-21
02BD2137-0890-1EEA-A6C2-BB55C1C727FB,HT-1042,,EUR,830.62,698,132.62,2,EA,2020-11-17
02BD2137-0890-1EEA-A6C2-BB55C1C727FB,HT-1120,,EUR,309.4,260,49.4,1,EA,2020-06-05
02BD2137-0890-1EEA-A6C2-BB55C1C747FB,HT-1502,,EUR,29750,25000,4750,1,EA,2020-08-21
02BD2137-0890-1EEA-A6C2-BB55C1C747FB,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-06-26
02BD2137-0890-1EEA-A6C2-BB55C1C767FB,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2020-06-17
02BD2137-0890-1EEA-A6C2-BB55C1C767FB,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-08-23
02BD2137-0890-1EEA-A6C2-BB55C1C787FB,HT-6130,,EUR,5208.63,4377,831.63,3,EA,2020-06-01
02BD2137-0890-1EEA-A6C2-BB55C1C787FB,HT-1061,,EUR,8.33,7,1.33,1,EA,2014-12-29
02BD2137-0890-1EEA-A6C2-BB55C1C7A7FB,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-06-17
02BD2137-0890-1EEA-A6C2-BB55C1C7A7FB,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2014-12-30
02BD2137-0890-1EEA-A6C2-BB55C1C7C7FB,HT-1502,,EUR,59500,50000,9500,2,EA,2020-07-29
02BD2137-0890-1EEA-A6C2-BB55C1C7C7FB,HT-1060,,EUR,10.71,9,1.71,1,EA,2020-02-27
02BD2137-0890-1EEA-A6C2-BB55C1C7E7FB,HT-1051,,USD,353.43,297,56.43,3,EA,2020-04-11
02BD2137-0890-1EEA-A6C2-BB55C1C7E7FB,HT-1138,,USD,4323.27,3633,690.27,3,EA,2020-10-09
02BD2137-0890-1EEA-A6C2-BB55C1C807FB,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-08-09
02BD2137-0890-1EEA-A6C2-BB55C1C807FB,HT-1501,,JPY,53550,45000,8550,3,EA,2020-04-10
02BD2137-0890-1EEA-A6C2-BB55C1C827FB,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-06-18
02BD2137-0890-1EEA-A6C2-BB55C1C827FB,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2020-03-18
02BD2137-0890-1EEA-A6C2-BB55C1C847FB,HT-8001,,GBP,1188.81,999,189.81,1,EA,2014-12-19
02BD2137-0890-1EEA-A6C2-BB55C1C847FB,HT-1031,,GBP,678.3,570,108.3,2,EA,2020-08-04
02BD2137-0890-1EEA-A6C2-BB55C1C867FB,HT-1030,,EUR,547.4,460,87.4,2,EA,2020-01-28
02BD2137-0890-1EEA-A6C2-BB55C1C867FB,HT-1111,,EUR,8.21,6.9,1.31,1,EA,2020-06-05
02BD2137-0890-1EEA-A6C2-BB55C1C887FB,HT-1115,,CAD,149.94,126,23.94,3,EA,2020-06-01
02BD2137-0890-1EEA-A6C2-BB55C1C887FB,AD-1000,,CAD,0,0,0,1,EA,2020-04-24
02BD2137-0890-1EEA-A6C2-BB55C1C8A7FB,HT-1032,,EUR,1231.65,1035,196.65,3,EA,2020-05-13
02BD2137-0890-1EEA-A6C2-BB55C1C8A7FB,HT-1113,,EUR,8.21,6.9,1.31,3,EA,2014-12-05
02BD2137-0890-1EEA-A6C2-BB55C1C8C7FB,HT-8002,,EUR,2853.62,2398,455.62,2,EA,2020-07-19
02BD2137-0890-1EEA-A6C2-BB55C1C8C7FB,HT-1032,,EUR,410.55,345,65.55,1,EA,2020-09-20
02BD2137-0890-1EEA-A6C2-BB55C1C8E7FB,HT-1114,,USD,82.11,69,13.11,1,EA,2020-04-03
02BD2137-0890-1EEA-A6C2-BB55C1C8E7FB,HT-8003,,USD,3303.44,2776,527.44,2,EA,2020-05-07
02BD2137-0890-1EEA-A6C2-BB55C1C907FB,HT-1037,,MXN,5105.1,4290,815.1,3,EA,2020-08-29
02BD2137-0890-1EEA-A6C2-BB55C1C907FB,HT-1116,,MXN,42.84,36,6.84,1,EA,2020-06-30
02BD2137-0890-1EEA-A6C2-BB55C1C927FB,HT-1117,,EUR,90.44,76,14.44,2,EA,2020-10-16
02BD2137-0890-1EEA-A6C2-BB55C1C927FB,HT-1040,,EUR,2963.1,2490,473.1,3,EA,2020-03-11
02BD2137-0890-1EEA-A6C2-BB55C1C947FB,HT-1118,,ARS,188.02,158,30.02,2,EA,2020-07-11
02BD2137-0890-1EEA-A6C2-BB55C1C947FB,HT-1041,,ARS,1166.2,980,186.2,2,EA,2020-12-06
